OBJECTID,NOM,Exutoire_1,Vidange2025,peche2025,Vidange2026,peche2026,Vidange2027,peche2027,Vidange2028,peche2028,Vidange2029,peche2029,Vidange2030,peche2030,Vidange2031,peche2031,Vidange2032,peche2032,Vidange2033,peche2033,Vidange2034,peche2034,Vidange2035,peche2035,Vidange2036,peche2036,Vidange2037,peche2037,Vidange2038,peche2038,Vidange2039,peche2039,Vidange2040,peche2040,Vidange2041,peche2041,Vidange2042,peche2042,Vidange2043,peche2043,Vidange2044,peche2044,Vidange2045,peche2045,Vidange2046,peche2046,Vidange2047,peche2047,Vidange2048,peche2048,Vidange2049,peche2049,Vidange2050,peche2050
678,POLLET,VIEUX,2025-11-06,2025-11-25,2026-11-06,2026-11-25,2027-11-06,2027-11-25,2028-11-06,2028-11-25,2029-11-06,2029-11-25,2030-11-06,2030-11-25,2031-11-06,2031-11-25,2032-11-06,2032-11-25,2033-11-06,2033-11-25,2034-11-06,2034-11-25,2035-11-06,2035-11-25,2036-11-06,2036-11-25,2037-11-06,2037-11-25,2038-11-06,2038-11-25,2039-11-06,2039-11-25,2040-11-06,2040-11-25,2041-11-06,2041-11-25,2042-11-06,2042-11-25,2043-11-06,2043-11-25,2044-11-06,2044-11-25,2045-11-06,2045-11-25,2046-11-06,2046-11-25,2047-11-06,2047-11-25,2048-11-06,2048-11-25,2049-11-06,2049-11-25,2050-11-06,2050-11-25
582,QUEUE1,FOUR,2025-12-27,2025-12-29,2026-12-27,2026-12-29,2027-12-27,2027-12-29,2028-12-27,2028-12-29,2029-12-27,2029-12-29,2030-12-27,2030-12-29,2031-12-27,2031-12-29,2032-12-27,2032-12-29,2033-12-27,2033-12-29,2034-12-27,2034-12-29,2035-12-27,2035-12-29,2036-12-27,2036-12-29,2037-12-27,2037-12-29,2038-12-27,2038-12-29,2039-12-27,2039-12-29,2040-12-27,2040-12-29,2041-12-27,2041-12-29,2042-12-27,2042-12-29,2043-12-27,2043-12-29,2044-12-27,2044-12-29,2045-12-27,2045-12-29,2046-12-27,2046-12-29,2047-12-27,2047-12-29,2048-12-27,2048-12-29,2049-12-27,2049-12-29,2050-12-27,2050-12-29
581,QUEUE2,FOUR,2025-12-27,2025-12-29,2026-12-27,2026-12-29,2027-12-27,2027-12-29,2028-12-27,2028-12-29,2029-12-27,2029-12-29,2030-12-27,2030-12-29,2031-12-27,2031-12-29,2032-12-27,2032-12-29,2033-12-27,2033-12-29,2034-12-27,2034-12-29,2035-12-27,2035-12-29,2036-12-27,2036-12-29,2037-12-27,2037-12-29,2038-12-27,2038-12-29,2039-12-27,2039-12-29,2040-12-27,2040-12-29,2041-12-27,2041-12-29,2042-12-27,2042-12-29,2043-12-27,2043-12-29,2044-12-27,2044-12-29,2045-12-27,2045-12-29,2046-12-27,2046-12-29,2047-12-27,2047-12-29,2048-12-27,2048-12-29,2049-12-27,2049-12-29,2050-12-27,2050-12-29
611,REMONDET NORD,REMONDET SUD,2025-11-24,2025-12-12,2026-11-24,2026-12-12,2027-11-24,2027-12-12,2028-11-24,2028-12-12,2029-11-24,2029-12-12,2030-11-24,2030-12-12,2031-11-24,2031-12-12,2032-11-24,2032-12-12,2033-11-24,2033-12-12,2034-11-24,2034-12-12,2035-11-24,2035-12-12,2036-11-24,2036-12-12,2037-11-24,2037-12-12,2038-11-24,2038-12-12,2039-11-24,2039-12-12,2040-11-24,2040-12-12,2041-11-24,2041-12-12,2042-11-24,2042-12-12,2043-11-24,2043-12-12,2044-11-24,2044-12-12,2045-11-24,2045-12-12,2046-11-24,2046-12-12,2047-11-24,2047-12-12,2048-11-24,2048-12-12,2049-11-24,2049-12-12,2050-11-24,2050-12-12
672,REMONDET SUD,PARADIS,2025-10-29,2025-11-23,2026-10-29,2026-11-23,2027-10-29,2027-11-23,2028-10-29,2028-11-23,2029-10-29,2029-11-23,2030-10-29,2030-11-23,2031-10-29,2031-11-23,2032-10-29,2032-11-23,2033-10-29,2033-11-23,2034-10-29,2034-11-23,2035-10-29,2035-11-23,2036-10-29,2036-11-23,2037-10-29,2037-11-23,2038-10-29,2038-11-23,2039-10-29,2039-11-23,2040-10-29,2040-11-23,2041-10-29,2041-11-23,2042-10-29,2042-11-23,2043-10-29,2043-11-23,2044-10-29,2044-11-23,2045-10-29,2045-11-23,2046-10-29,2046-11-23,2047-10-29,2047-11-23,2048-10-29,2048-11-23,2049-10-29,2049-11-23,2050-10-29,2050-11-23
775,RIOUX,TRIPOUX,2025-10-27,2025-11-04,2026-10-27,2026-11-04,2027-10-27,2027-11-04,2028-10-27,2028-11-04,2029-10-27,2029-11-04,2030-10-27,2030-11-04,2031-10-27,2031-11-04,2032-10-27,2032-11-04,2033-10-27,2033-11-04,2034-10-27,2034-11-04,2035-10-27,2035-11-04,2036-10-27,2036-11-04,2037-10-27,2037-11-04,2038-10-27,2038-11-04,2039-10-27,2039-11-04,2040-10-27,2040-11-04,2041-10-27,2041-11-04,2042-10-27,2042-11-04,2043-10-27,2043-11-04,2044-10-27,2044-11-04,2045-10-27,2045-11-04,2046-10-27,2046-11-04,2047-10-27,2047-11-04,2048-10-27,2048-11-04,2049-10-27,2049-11-04,2050-10-27,2050-11-04
1279,ROUE RONZUEL,PETIT ETANG LA ROUE,2026-01-12,2026-01-20,2027-01-12,2027-01-20,2028-01-12,2028-01-20,2029-01-12,2029-01-20,2030-01-12,2030-01-20,2031-01-12,2031-01-20,2032-01-12,2032-01-20,2033-01-12,2033-01-20,2034-01-12,2034-01-20,2035-01-12,2035-01-20,2036-01-12,2036-01-20,2037-01-12,2037-01-20,2038-01-12,2038-01-20,2039-01-12,2039-01-20,2040-01-12,2040-01-20,2041-01-12,2041-01-20,2042-01-12,2042-01-20,2043-01-12,2043-01-20,2044-01-12,2044-01-20,2045-01-12,2045-01-20,2046-01-12,2046-01-20,2047-01-12,2047-01-20,2048-01-12,2048-01-20,2049-01-12,2049-01-20,2050-01-12,2050-01-20
768,SALE,OUTPUT,2025-10-01,2025-10-16,2026-10-01,2026-10-16,2027-10-01,2027-10-16,2028-10-01,2028-10-16,2029-10-01,2029-10-16,2030-10-01,2030-10-16,2031-10-01,2031-10-16,2032-10-01,2032-10-16,2033-10-01,2033-10-16,2034-10-01,2034-10-16,2035-10-01,2035-10-16,2036-10-01,2036-10-16,2037-10-01,2037-10-16,2038-10-01,2038-10-16,2039-10-01,2039-10-16,2040-10-01,2040-10-16,2041-10-01,2041-10-16,2042-10-01,2042-10-16,2043-10-01,2043-10-16,2044-10-01,2044-10-16,2045-10-01,2045-10-16,2046-10-01,2046-10-16,2047-10-01,2047-10-16,2048-10-01,2048-10-16,2049-10-01,2049-10-16,2050-10-01,2050-10-16
798,TRIPOUX,SALE,2025-10-17,2025-10-26,2026-10-17,2026-10-26,2027-10-17,2027-10-26,2028-10-17,2028-10-26,2029-10-17,2029-10-26,2030-10-17,2030-10-26,2031-10-17,2031-10-26,2032-10-17,2032-10-26,2033-10-17,2033-10-26,2034-10-17,2034-10-26,2035-10-17,2035-10-26,2036-10-17,2036-10-26,2037-10-17,2037-10-26,2038-10-17,2038-10-26,2039-10-17,2039-10-26,2040-10-17,2040-10-26,2041-10-17,2041-10-26,2042-10-17,2042-10-26,2043-10-17,2043-10-26,2044-10-17,2044-10-26,2045-10-17,2045-10-26,2046-10-17,2046-10-26,2047-10-17,2047-10-26,2048-10-17,2048-10-26,2049-10-17,2049-10-26,2050-10-17,2050-10-26
743,VIEUX,PARADIS,2025-10-29,2025-11-05,2026-10-29,2026-11-05,2027-10-29,2027-11-05,2028-10-29,2028-11-05,2029-10-29,2029-11-05,2030-10-29,2030-11-05,2031-10-29,2031-11-05,2032-10-29,2032-11-05,2033-10-29,2033-11-05,2034-10-29,2034-11-05,2035-10-29,2035-11-05,2036-10-29,2036-11-05,2037-10-29,2037-11-05,2038-10-29,2038-11-05,2039-10-29,2039-11-05,2040-10-29,2040-11-05,2041-10-29,2041-11-05,2042-10-29,2042-11-05,2043-10-29,2043-11-05,2044-10-29,2044-11-05,2045-10-29,2045-11-05,2046-10-29,2046-11-05,2047-10-29,2047-11-05,2048-10-29,2048-11-05,2049-10-29,2049-11-05,2050-10-29,2050-11-05
732,VIEUX BURLAT,GRAND RONZUEL,2026-02-10,2026-02-14,2027-02-10,2027-02-14,2028-02-10,2028-02-14,2029-02-10,2029-02-14,2030-02-10,2030-02-14,2031-02-10,2031-02-14,2032-02-10,2032-02-14,2033-02-10,2033-02-14,2034-02-10,2034-02-14,2035-02-10,2035-02-14,2036-02-10,2036-02-14,2037-02-10,2037-02-14,2038-02-10,2038-02-14,2039-02-10,2039-02-14,2040-02-10,2040-02-14,2041-02-10,2041-02-14,2042-02-10,2042-02-14,2043-02-10,2043-02-14,2044-02-10,2044-02-14,2045-02-10,2045-02-14,2046-02-10,2046-02-14,2047-02-10,2047-02-14,2048-02-10,2048-02-14,2049-02-10,2049-02-14,2050-02-10,2050-02-14
