Scenario,Etang,Saison,Nb_Orages_Analyses,Pluie_Moyenne_Orage_mm,CR_Terrain_Moyen,CR_Modele_Moyen,Biais_Moyen_CR
L0.2_Pant10_CN_modif_20260519,CARRONNIER,1_Hiver (Sature),17,11.1,32.2,9.2,-23
L0.2_Pant10_CN_modif_20260519,CARRONNIER,2_Printemps (Maintien),5,15.9,40.2,19.7,-20.5
L0.2_Pant10_CN_modif_20260519,CARRONNIER,3_Ete (Basses Eaux),4,8.8,21.4,0,-21.4
L0.2_Pant10_CN_modif_20260519,CARRONNIER,4_Automne (Avant Vidange),21,12.5,23.9,15.5,-8.4
L0.2_Pant10_CN_modif_20260519,CORVEYZIEUX,1_Hiver (Sature),6,10.7,42.9,7.9,-35
L0.2_Pant10_CN_modif_20260519,CORVEYZIEUX,2_Printemps (Maintien),1,8.4,13.7,0,-13.7
L0.2_Pant10_CN_modif_20260519,CORVEYZIEUX,3_Ete (Basses Eaux),2,9,52,0.3,-51.7
L0.2_Pant10_CN_modif_20260519,CORVEYZIEUX,4_Automne (Avant Vidange),16,15.1,40.5,11.8,-28.8
L0.2_Pant10_CN_modif_20260519,FOUR,1_Hiver (Sature),1,6.2,8.6,4.3,-4.3
L0.2_Pant10_CN_modif_20260519,FOUR,2_Printemps (Maintien),2,6.7,4.6,0,-4.6
L0.2_Pant10_CN_modif_20260519,FOUR,3_Ete (Basses Eaux),2,7.9,28.6,0.1,-28.5
L0.2_Pant10_CN_modif_20260519,FOUR,4_Automne (Avant Vidange),5,10.6,37.1,13.9,-23.2
L0.2_Pant10_CN_modif_20260519,GRAND ETANG LA ROUE,2_Printemps (Maintien),3,23.3,32,23.5,-8.5
L0.2_Pant10_CN_modif_20260519,GRAND ETANG LA ROUE,3_Ete (Basses Eaux),3,15.2,39.6,14,-25.7
L0.2_Pant10_CN_modif_20260519,GRAND ETANG LA ROUE,4_Automne (Avant Vidange),4,12,19,11.1,-7.9
L0.2_Pant10_CN_modif_20260519,GRAND RONZUEL,4_Automne (Avant Vidange),1,8.9,1.2,0,-1.2
L0.2_Pant10_CN_modif_20260519,LIGNIERE,4_Automne (Avant Vidange),1,8.1,37.3,0,-37.3
L0.2_Pant10_CN_modif_20260519,PLAT,1_Hiver (Sature),8,13.8,31.8,14.4,-17.4
L0.2_Pant10_CN_modif_20260519,PLAT,2_Printemps (Maintien),5,19.9,29.7,19,-10.7
L0.2_Pant10_CN_modif_20260519,PLAT,3_Ete (Basses Eaux),3,11.2,36.5,0.1,-36.4
L0.2_Pant10_CN_modif_20260519,PLAT,4_Automne (Avant Vidange),9,20.5,48.9,19.2,-29.7
L0.2_Pant10_CN_modif_20260519,POLLET,2_Printemps (Maintien),3,6.5,35.5,1.8,-33.6
L0.2_Pant10_CN_modif_20260519,POLLET,4_Automne (Avant Vidange),2,6.7,57.1,0,-57.1
L0.2_Pant10_CN_modif_20260519,REMONDET NORD,1_Hiver (Sature),5,8.7,24.9,8.7,-16.2
L0.2_Pant10_CN_modif_20260519,REMONDET NORD,2_Printemps (Maintien),1,5.4,28,4.7,-23.3
