"Evenement";"Etang";"Date_Debut_Orage";"hypothese";"RMSE"
"REMONDET NORD (2025-04-13)";"REMONDET NORD";"2025-04-13";"0.20/150/5";1,55
"REMONDET NORD (2025-04-13)";"REMONDET NORD";"2025-04-13";"0.20/150/3";1,56
"REMONDET NORD (2025-04-13)";"REMONDET NORD";"2025-04-13";"0.20/225/5";1,57
"REMONDET NORD (2025-04-13)";"REMONDET NORD";"2025-04-13";"0.20/200/4";1,59
"REMONDET NORD (2025-04-13)";"REMONDET NORD";"2025-04-13";"0.20/250/5";1,6
"REMONDET NORD (2025-04-13)";"REMONDET NORD";"2025-04-13";"0.20/175/3";1,63
"REMONDET NORD (2025-04-13)";"REMONDET NORD";"2025-04-13";"0.20/225/4";1,64
"REMONDET NORD (2025-04-13)";"REMONDET NORD";"2025-04-13";"0.20/250/4";1,68
"REMONDET NORD (2025-10-30)";"REMONDET NORD";"2025-10-30";"0.50/200/5";1,52
"REMONDET NORD (2025-10-30)";"REMONDET NORD";"2025-10-30";"0.40/200/5";1,55
"REMONDET NORD (2025-10-30)";"REMONDET NORD";"2025-10-30";"0.30/175/5";1,58
"REMONDET NORD (2025-10-30)";"REMONDET NORD";"2025-10-30";"0.35/200/5";1,61
"REMONDET NORD (2025-10-30)";"REMONDET NORD";"2025-10-30";"0.35/175/5";1,63
"REMONDET NORD (2025-10-30)";"REMONDET NORD";"2025-10-30";"0.50/225/4";1,64
"REMONDET NORD (2025-10-30)";"REMONDET NORD";"2025-10-30";"0.40/200/4";1,65
"REMONDET NORD (2025-10-30)";"REMONDET NORD";"2025-10-30";"0.50/225/5";1,66
"REMONDET NORD (2025-10-30)";"REMONDET NORD";"2025-10-30";"0.35/200/4";1,67
"REMONDET NORD (2025-10-30)";"REMONDET NORD";"2025-10-30";"0.20/150/5";1,69
"REMONDET NORD (2025-10-30)";"REMONDET NORD";"2025-10-30";"0.30/200/5";1,7
"REMONDET NORD (2025-10-30)";"REMONDET NORD";"2025-10-30";"0.30/175/4";1,71
"REMONDET NORD (2025-11-22)";"REMONDET NORD";"2025-11-22";"0.20/250/5";1,31
"REMONDET NORD (2025-11-22)";"REMONDET NORD";"2025-11-22";"0.20/250/3";1,32
"REMONDET NORD (2025-11-22)";"REMONDET NORD";"2025-11-22";"0.20/250/4";1,32
"REMONDET NORD (2025-11-22)";"REMONDET NORD";"2025-11-22";"0.20/250/2";1,33
"REMONDET NORD (2025-11-22)";"REMONDET NORD";"2025-11-22";"0.20/250/1";1,34
"REMONDET NORD (2025-11-22)";"REMONDET NORD";"2025-11-22";"0.20/225/2";1,34
"REMONDET NORD (2025-11-22)";"REMONDET NORD";"2025-11-22";"0.20/225/3";1,34
"REMONDET NORD (2025-11-22)";"REMONDET NORD";"2025-11-22";"0.20/225/4";1,34
