Annee_Gestion;Scenario;Etang;Nb_Jours_Total;Jours_Rempli_Plus_80;Jours_Moins_15_Pourcent;Volume_Ruissele_m3;Volume_Evapore_m3;Volume_Sortant_m3;Taux_Renouvellement;CR_Annuel_Global;Nb_Jours_Avec_Sonde;RMSE_Volume_m3;Nb_Orages_Valides;CR_Terrain_Moyen;CR_Modele_Moyen;Biais_CR
2011-2012;L0.05_Pant10_CN_modif_20260519;PLAT;366;0;309;25130;5641;121634;0.12;14.7;0;NA;0;NA;NA;NA
2012-2013;L0.05_Pant10_CN_modif_20260519;PLAT;365;127;86;31373;57380;148139;0.15;15.2;0;NA;0;NA;NA;NA
2013-2014;L0.05_Pant10_CN_modif_20260519;PLAT;365;90;48;24501;74135;314996;0.12;12.1;0;NA;0;NA;NA;NA
2014-2015;L0.05_Pant10_CN_modif_20260519;PLAT;365;32;113;21018;-3063;326540;0.1;14.2;0;NA;0;NA;NA;NA
2015-2016;L0.05_Pant10_CN_modif_20260519;PLAT;366;61;71;25165;57179;110791;0.12;13.3;0;NA;0;NA;NA;NA
2016-2017;L0.05_Pant10_CN_modif_20260519;PLAT;365;0;302;15713;16019;219321;0.08;11.8;0;NA;0;NA;NA;NA
2017-2018;L0.05_Pant10_CN_modif_20260519;PLAT;365;0;133;15018;12839;57854;0.07;9.4;0;NA;0;NA;NA;NA
2018-2019;L0.05_Pant10_CN_modif_20260519;PLAT;365;0;202;13438;-5708;72641;0.06;8.9;0;NA;0;NA;NA;NA
2019-2020;L0.05_Pant10_CN_modif_20260519;PLAT;366;0;259;14579;13523;179832;0.07;10.1;0;NA;0;NA;NA;NA
2020-2021;L0.05_Pant10_CN_modif_20260519;PLAT;365;84;62;43619;87136;156057;0.21;20;0;NA;0;NA;NA;NA
2021-2022;L0.05_Pant10_CN_modif_20260519;PLAT;365;56;299;19462;20086;293459;0.09;14.5;0;NA;0;NA;NA;NA
2022-2023;L0.05_Pant10_CN_modif_20260519;PLAT;365;0;345;13842;-962;48776;0.07;9.5;183;70395;3;11.2;4.7;-6.5
2023-2024;L0.05_Pant10_CN_modif_20260519;PLAT;366;126;100;47199;92839;232631;0.23;20.4;366;54302;7;54.9;22.8;-32.1
2024-2025;L0.05_Pant10_CN_modif_20260519;PLAT;365;56;19;22647;30178;363498;0.11;12.7;365;74426;10;35.7;15;-20.7
2010-2011;L0.05_Pant10_CN_modif_20260519;POLLET;365;302;17;2558;25372;195840;0.01;9.7;0;NA;0;NA;NA;NA
2011-2012;L0.05_Pant10_CN_modif_20260519;POLLET;366;30;12;2328;46611;200766;0.01;7.9;0;NA;0;NA;NA;NA
2012-2013;L0.05_Pant10_CN_modif_20260519;POLLET;365;4;324;27972;12253;358462;0.12;79;0;NA;0;NA;NA;NA
2013-2014;L0.05_Pant10_CN_modif_20260519;POLLET;365;304;53;5389;70431;167006;0.02;15.5;0;NA;0;NA;NA;NA
2014-2015;L0.05_Pant10_CN_modif_20260519;POLLET;365;282;10;3561;-3393;394105;0.02;14;0;NA;0;NA;NA;NA
2015-2016;L0.05_Pant10_CN_modif_20260519;POLLET;366;33;15;4271;60686;175808;0.02;13.2;0;NA;0;NA;NA;NA
2016-2017;L0.05_Pant10_CN_modif_20260519;POLLET;365;285;16;1593;-16872;176333;0.01;7;0;NA;0;NA;NA;NA
2017-2018;L0.05_Pant10_CN_modif_20260519;POLLET;365;0;324;17453;-5450;253919;0.08;64.1;0;NA;0;NA;NA;NA
2018-2019;L0.05_Pant10_CN_modif_20260519;POLLET;365;0;55;2356;11675;3336;0.01;9.2;0;NA;0;NA;NA;NA
2019-2020;L0.05_Pant10_CN_modif_20260519;POLLET;366;241;22;2472;-11332;101221;0.01;10;0;NA;0;NA;NA;NA
2020-2021;L0.05_Pant10_CN_modif_20260519;POLLET;365;66;15;7431;85372;188845;0.03;19.9;0;NA;0;NA;NA;NA
2021-2022;L0.05_Pant10_CN_modif_20260519;POLLET;365;283;12;2068;-33052;326392;0.01;9;51;35145;0;NA;NA;NA
2022-2023;L0.05_Pant10_CN_modif_20260519;POLLET;365;54;246;6446;33211;237618;0.03;26;180;67065;2;57.1;0.4;-56.7
2023-2024;L0.05_Pant10_CN_modif_20260519;POLLET;366;268;51;12610;93392;147310;0.05;31.8;0;NA;0;NA;NA;NA
2024-2025;L0.05_Pant10_CN_modif_20260519;POLLET;365;309;11;3823;31866;413092;0.02;12.5;154;7476;3;35.5;6.3;-29.2
2010-2011;L0.05_Pant10_CN_modif_20260519;REMONDET NORD;365;23;325;91809;14214;192455;0.8;15.8;0;NA;0;NA;NA;NA
2011-2012;L0.05_Pant10_CN_modif_20260519;REMONDET NORD;366;121;64;75288;50346;20437;0.66;11.6;0;NA;0;NA;NA;NA
2012-2013;L0.05_Pant10_CN_modif_20260519;REMONDET NORD;365;287;24;129752;86101;228700;1.14;16.6;0;NA;0;NA;NA;NA
2013-2014;L0.05_Pant10_CN_modif_20260519;REMONDET NORD;365;264;24;126530;77318;187651;1.11;16.5;0;NA;0;NA;NA;NA
2014-2015;L0.05_Pant10_CN_modif_20260519;REMONDET NORD;365;182;26;101403;-373;167324;0.89;18.1;0;NA;0;NA;NA;NA
2015-2016;L0.05_Pant10_CN_modif_20260519;REMONDET NORD;366;0;332;153907;15916;212074;1.35;21.5;0;NA;0;NA;NA;NA
2016-2017;L0.05_Pant10_CN_modif_20260519;REMONDET NORD;365;0;79;53408;-20654;14288;0.47;10.6;0;NA;0;NA;NA;NA
2017-2018;L0.05_Pant10_CN_modif_20260519;REMONDET NORD;365;141;79;77474;16670;50576;0.68;12.9;0;NA;0;NA;NA;NA
2018-2019;L0.05_Pant10_CN_modif_20260519;REMONDET NORD;365;0;28;71324;-491;53154;0.62;12.5;0;NA;0;NA;NA;NA
2019-2020;L0.05_Pant10_CN_modif_20260519;REMONDET NORD;366;83;15;75263;-11336;97740;0.66;13.8;0;NA;0;NA;NA;NA
2020-2021;L0.05_Pant10_CN_modif_20260519;REMONDET NORD;365;0;336;247912;14179;307990;2.17;30.1;0;NA;0;NA;NA;NA
2021-2022;L0.05_Pant10_CN_modif_20260519;REMONDET NORD;365;0;91;69343;-42697;24989;0.61;13.6;0;NA;0;NA;NA;NA
2022-2023;L0.05_Pant10_CN_modif_20260519;REMONDET NORD;365;0;127;55221;3373;45905;0.48;10.1;291;20814;3;15.4;6.9;-8.5
2023-2024;L0.05_Pant10_CN_modif_20260519;REMONDET NORD;366;277;41;224072;97232;256838;1.96;25.6;366;20921;13;28.1;23.8;-4.3
2024-2025;L0.05_Pant10_CN_modif_20260519;REMONDET NORD;365;273;0;112805;30796;158380;0.99;16.7;365;9069;9;30.7;16.2;-14.6
2010-2011;L0.05_Pant10_CN_modif_20260519;REMONDET SUD;365;32;57;17212;32338;559917;0.1;11.1;0;NA;0;NA;NA;NA
2011-2012;L0.05_Pant10_CN_modif_20260519;REMONDET SUD;366;113;32;15844;62077;364884;0.09;9.1;0;NA;0;NA;NA;NA
2012-2013;L0.05_Pant10_CN_modif_20260519;REMONDET SUD;365;57;292;56153;37792;1397235;0.33;26.7;0;NA;0;NA;NA;NA
2013-2014;L0.05_Pant10_CN_modif_20260519;REMONDET SUD;365;239;115;37674;64302;859237;0.22;18.3;0;NA;0;NA;NA;NA
2014-2015;L0.05_Pant10_CN_modif_20260519;REMONDET SUD;365;265;7;23113;-4634;1105338;0.14;15.4;0;NA;0;NA;NA;NA
2015-2016;L0.05_Pant10_CN_modif_20260519;REMONDET SUD;366;152;55;28058;80187;554419;0.16;14.6;0;NA;0;NA;NA;NA
2016-2017;L0.05_Pant10_CN_modif_20260519;REMONDET SUD;365;32;66;10879;-15475;515361;0.06;8;0;NA;0;NA;NA;NA
2017-2018;L0.05_Pant10_CN_modif_20260519;REMONDET SUD;365;25;318;38292;308;352189;0.22;23.7;0;NA;0;NA;NA;NA
2018-2019;L0.05_Pant10_CN_modif_20260519;REMONDET SUD;365;0;166;19280;3902;249982;0.11;12.6;0;NA;0;NA;NA;NA
2019-2020;L0.05_Pant10_CN_modif_20260519;REMONDET SUD;366;245;32;16395;-17901;584919;0.1;11.2;0;NA;0;NA;NA;NA
2020-2021;L0.05_Pant10_CN_modif_20260519;REMONDET SUD;365;145;32;47360;113867;1076246;0.28;21.4;0;NA;0;NA;NA;NA
2021-2022;L0.05_Pant10_CN_modif_20260519;REMONDET SUD;365;203;14;13998;-45355;444498;0.08;10.2;0;NA;0;NA;NA;NA
2022-2023;L0.05_Pant10_CN_modif_20260519;REMONDET SUD;365;28;293;21537;19978;328079;0.13;14.6;0;NA;0;NA;NA;NA
2023-2024;L0.05_Pant10_CN_modif_20260519;REMONDET SUD;366;195;90;80998;70106;1165282;0.47;34.5;0;NA;0;NA;NA;NA
2024-2025;L0.05_Pant10_CN_modif_20260519;REMONDET SUD;365;192;14;25196;42887;955400;0.15;13.9;0;NA;0;NA;NA;NA
2010-2011;L0.05_Pant10_CN_modif_20260519;RIOUX;365;91;183;45149;14116;88953;0.88;11.3;0;NA;0;NA;NA;NA
2011-2012;L0.05_Pant10_CN_modif_20260519;RIOUX;366;76;23;41373;18426;26164;0.81;9.3;0;NA;0;NA;NA;NA
2012-2013;L0.05_Pant10_CN_modif_20260519;RIOUX;365;206;29;73851;34833;110502;1.44;13.8;0;NA;0;NA;NA;NA
2013-2014;L0.05_Pant10_CN_modif_20260519;RIOUX;365;97;263;79525;13970;136528;1.55;15.1;0;NA;0;NA;NA;NA
2014-2015;L0.05_Pant10_CN_modif_20260519;RIOUX;365;0;180;66858;-14674;52184;1.3;17.4;0;NA;0;NA;NA;NA
2015-2016;L0.05_Pant10_CN_modif_20260519;RIOUX;366;120;45;72421;26326;61740;1.41;14.7;0;NA;0;NA;NA;NA
2016-2017;L0.05_Pant10_CN_modif_20260519;RIOUX;365;55;231;28626;5044;67110;0.56;8.3;0;NA;0;NA;NA;NA
2017-2018;L0.05_Pant10_CN_modif_20260519;RIOUX;365;117;120;43071;3964;21366;0.84;10.4;0;NA;0;NA;NA;NA
2018-2019;L0.05_Pant10_CN_modif_20260519;RIOUX;365;5;264;44618;4507;78362;0.87;11.4;0;NA;0;NA;NA;NA
2019-2020;L0.05_Pant10_CN_modif_20260519;RIOUX;366;0;194;46580;-12792;31599;0.91;12.5;0;NA;0;NA;NA;NA
2020-2021;L0.05_Pant10_CN_modif_20260519;RIOUX;365;157;35;121747;36925;116051;2.37;21.5;0;NA;0;NA;NA;NA
2021-2022;L0.05_Pant10_CN_modif_20260519;RIOUX;365;97;106;36750;-1409;80152;0.72;10.5;0;NA;0;NA;NA;NA
2022-2023;L0.05_Pant10_CN_modif_20260519;RIOUX;365;0;122;30789;1835;28081;0.6;8.2;0;NA;0;NA;NA;NA
2023-2024;L0.05_Pant10_CN_modif_20260519;RIOUX;366;48;284;142034;28895;175472;2.76;23.6;0;NA;0;NA;NA;NA
2024-2025;L0.05_Pant10_CN_modif_20260519;RIOUX;365;25;149;70251;-3215;37427;1.37;15.2;0;NA;0;NA;NA;NA
2010-2011;L0.05_Pant10_CN_modif_20260519;ROUE RONZUEL;365;71;127;33968;12822;67865;0.82;15.3;0;NA;0;NA;NA;NA
2011-2012;L0.05_Pant10_CN_modif_20260519;ROUE RONZUEL;366;97;35;32788;19785;24461;0.79;13.3;0;NA;0;NA;NA;NA
2012-2013;L0.05_Pant10_CN_modif_20260519;ROUE RONZUEL;365;77;283;68184;11940;117542;1.64;22.8;0;NA;0;NA;NA;NA
2013-2014;L0.05_Pant10_CN_modif_20260519;ROUE RONZUEL;365;192;115;59192;19701;39946;1.43;20.2;0;NA;0;NA;NA;NA
2014-2015;L0.05_Pant10_CN_modif_20260519;ROUE RONZUEL;365;77;103;42426;2479;83852;1.02;19.8;0;NA;0;NA;NA;NA
2015-2016;L0.05_Pant10_CN_modif_20260519;ROUE RONZUEL;366;112;63;53904;27756;55475;1.3;19.7;0;NA;0;NA;NA;NA
2016-2017;L0.05_Pant10_CN_modif_20260519;ROUE RONZUEL;365;24;247;22331;8167;53190;0.54;11.6;0;NA;0;NA;NA;NA
2017-2018;L0.05_Pant10_CN_modif_20260519;ROUE RONZUEL;365;0;365;43009;1041;47543;1.04;18.7;0;NA;0;NA;NA;NA
2018-2019;L0.05_Pant10_CN_modif_20260519;ROUE RONZUEL;365;0;112;33227;-3356;11834;0.8;15.3;0;NA;0;NA;NA;NA
2019-2020;L0.05_Pant10_CN_modif_20260519;ROUE RONZUEL;366;28;54;32164;-2144;45904;0.77;15.5;0;NA;0;NA;NA;NA
2020-2021;L0.05_Pant10_CN_modif_20260519;ROUE RONZUEL;365;199;50;84099;39584;91411;2.03;26.7;0;NA;0;NA;NA;NA
2021-2022;L0.05_Pant10_CN_modif_20260519;ROUE RONZUEL;365;66;71;28054;-5607;56872;0.68;14.4;0;NA;0;NA;NA;NA
2022-2023;L0.05_Pant10_CN_modif_20260519;ROUE RONZUEL;365;0;350;28692;9593;38286;0.69;13.7;0;NA;0;NA;NA;NA
2023-2024;L0.05_Pant10_CN_modif_20260519;ROUE RONZUEL;366;142;91;106941;18418;99839;2.58;32;0;NA;0;NA;NA;NA
2024-2025;L0.05_Pant10_CN_modif_20260519;ROUE RONZUEL;365;119;22;47694;13803;68006;1.15;18.5;154;17583;6;19.3;25.4;6.2
2010-2011;L0.05_Pant10_CN_modif_20260519;SALE;365;130;76;25113;21325;1453492;0.25;11;0;NA;0;NA;NA;NA
2011-2012;L0.05_Pant10_CN_modif_20260519;SALE;366;101;230;30965;25138;1038917;0.31;12.2;0;NA;0;NA;NA;NA
2012-2013;L0.05_Pant10_CN_modif_20260519;SALE;365;201;148;54391;14902;2623242;0.54;17.7;0;NA;0;NA;NA;NA
2013-2014;L0.05_Pant10_CN_modif_20260519;SALE;365;354;1;40207;63290;2131133;0.4;13.4;0;NA;0;NA;NA;NA
2014-2015;L0.05_Pant10_CN_modif_20260519;SALE;365;266;1;33688;-2600;2140055;0.34;15.3;0;NA;0;NA;NA;NA
2015-2016;L0.05_Pant10_CN_modif_20260519;SALE;366;239;25;40981;47213;1369373;0.41;14.5;0;NA;0;NA;NA;NA
2016-2017;L0.05_Pant10_CN_modif_20260519;SALE;365;106;229;19247;20943;1269412;0.19;9.7;0;NA;0;NA;NA;NA
2017-2018;L0.05_Pant10_CN_modif_20260519;SALE;365;131;141;28419;-15169;837722;0.28;12;0;NA;0;NA;NA;NA
2018-2019;L0.05_Pant10_CN_modif_20260519;SALE;365;214;46;22223;-5159;699991;0.22;10;0;NA;0;NA;NA;NA
2019-2020;L0.05_Pant10_CN_modif_20260519;SALE;366;199;44;23867;-10193;1046682;0.24;11.2;0;NA;0;NA;NA;NA
2020-2021;L0.05_Pant10_CN_modif_20260519;SALE;365;228;7;69232;66269;2350187;0.69;21.4;0;NA;0;NA;NA;NA
2021-2022;L0.05_Pant10_CN_modif_20260519;SALE;365;136;32;20409;-26313;1380657;0.2;10.2;0;NA;0;NA;NA;NA
2022-2023;L0.05_Pant10_CN_modif_20260519;SALE;365;188;57;17063;-275;735811;0.17;7.9;0;NA;0;NA;NA;NA
2023-2024;L0.05_Pant10_CN_modif_20260519;SALE;366;275;2;75340;74074;2797478;0.75;21.9;0;NA;0;NA;NA;NA
2024-2025;L0.05_Pant10_CN_modif_20260519;SALE;365;224;13;36654;25533;1962006;0.36;13.8;0;NA;0;NA;NA;NA
2010-2011;L0.05_Pant10_CN_modif_20260519;TRIPOUX;365;236;32;127658;17037;539723;2.19;15.8;0;NA;0;NA;NA;NA
2011-2012;L0.05_Pant10_CN_modif_20260519;TRIPOUX;366;191;116;127249;21189;271081;2.18;14.1;0;NA;0;NA;NA;NA
2012-2013;L0.05_Pant10_CN_modif_20260519;TRIPOUX;365;106;256;222409;-5655;751734;3.81;20.4;0;NA;0;NA;NA;NA
2013-2014;L0.05_Pant10_CN_modif_20260519;TRIPOUX;365;286;55;201077;37968;774030;3.45;18.8;0;NA;0;NA;NA;NA
2014-2015;L0.05_Pant10_CN_modif_20260519;TRIPOUX;365;243;117;157627;27807;539775;2.7;20.1;0;NA;0;NA;NA;NA
2015-2016;L0.05_Pant10_CN_modif_20260519;TRIPOUX;366;325;17;199405;29658;470972;3.42;19.9;0;NA;0;NA;NA;NA
2016-2017;L0.05_Pant10_CN_modif_20260519;TRIPOUX;365;218;116;85459;12977;363536;1.47;12.1;0;NA;0;NA;NA;NA
2017-2018;L0.05_Pant10_CN_modif_20260519;TRIPOUX;365;0;255;133026;-20375;260713;2.28;15.9;0;NA;0;NA;NA;NA
2018-2019;L0.05_Pant10_CN_modif_20260519;TRIPOUX;365;221;42;116805;2628;335266;2;14.7;0;NA;0;NA;NA;NA
2019-2020;L0.05_Pant10_CN_modif_20260519;TRIPOUX;366;244;117;119684;14131;316754;2.05;15.8;0;NA;0;NA;NA;NA
2020-2021;L0.05_Pant10_CN_modif_20260519;TRIPOUX;365;315;28;309714;39888;825687;5.31;26.9;0;NA;0;NA;NA;NA
2021-2022;L0.05_Pant10_CN_modif_20260519;TRIPOUX;365;243;66;105515;-1378;447966;1.81;14.8;0;NA;0;NA;NA;NA
2022-2023;L0.05_Pant10_CN_modif_20260519;TRIPOUX;365;174;137;92209;18659;225718;1.58;12.1;0;NA;0;NA;NA;NA
2023-2024;L0.05_Pant10_CN_modif_20260519;TRIPOUX;366;14;257;372910;-15418;1055187;6.4;30.5;0;NA;0;NA;NA;NA
2024-2025;L0.05_Pant10_CN_modif_20260519;TRIPOUX;365;260;20;178196;15227;433050;3.06;18.9;0;NA;0;NA;NA;NA
2010-2011;L0.05_Pant10_CN_modif_20260519;VIEUX;365;311;8;35091;8407;232691;0.8;15.8;0;NA;0;NA;NA;NA
2011-2012;L0.05_Pant10_CN_modif_20260519;VIEUX;366;55;307;41618;451;285199;0.95;16.8;0;NA;0;NA;NA;NA
2012-2013;L0.05_Pant10_CN_modif_20260519;VIEUX;365;279;64;58613;24584;402341;1.34;19.6;0;NA;0;NA;NA;NA
2013-2014;L0.05_Pant10_CN_modif_20260519;VIEUX;365;55;306;67200;6110;279634;1.53;23;0;NA;0;NA;NA;NA
2014-2015;L0.05_Pant10_CN_modif_20260519;VIEUX;365;229;64;46481;-3305;418437;1.06;21.7;0;NA;0;NA;NA;NA
2015-2016;L0.05_Pant10_CN_modif_20260519;VIEUX;366;155;68;54757;21466;238713;1.25;20;0;NA;0;NA;NA;NA
2016-2017;L0.05_Pant10_CN_modif_20260519;VIEUX;365;25;306;27630;2805;238930;0.63;14.3;0;NA;0;NA;NA;NA
2017-2018;L0.05_Pant10_CN_modif_20260519;VIEUX;365;176;86;34428;6066;268475;0.79;15;0;NA;0;NA;NA;NA
2018-2019;L0.05_Pant10_CN_modif_20260519;VIEUX;365;0;310;39260;-2986;65548;0.9;18.1;0;NA;0;NA;NA;NA
2019-2020;L0.05_Pant10_CN_modif_20260519;VIEUX;366;0;88;36222;-9240;118046;0.83;17.4;0;NA;0;NA;NA;NA
2020-2021;L0.05_Pant10_CN_modif_20260519;VIEUX;365;138;55;84965;29123;274659;1.94;27;0;NA;0;NA;NA;NA
2021-2022;L0.05_Pant10_CN_modif_20260519;VIEUX;365;55;306;33760;6636;405218;0.77;17.3;0;NA;0;NA;NA;NA
2022-2023;L0.05_Pant10_CN_modif_20260519;VIEUX;365;228;69;25328;-455;228936;0.58;12.1;0;NA;0;NA;NA;NA
2023-2024;L0.05_Pant10_CN_modif_20260519;VIEUX;366;38;307;108718;11446;301031;2.48;32.5;0;NA;0;NA;NA;NA
2024-2025;L0.05_Pant10_CN_modif_20260519;VIEUX;365;238;66;53908;295;440611;1.23;20.9;0;NA;0;NA;NA;NA
2010-2011;L0.05_Pant10_CN_modif_20260519;VIEUX BURLAT;365;80;277;11559;6097;68164;0.51;18.7;0;NA;0;NA;NA;NA
2011-2012;L0.05_Pant10_CN_modif_20260519;VIEUX BURLAT;366;18;106;10069;7445;6874;0.44;14.6;0;NA;0;NA;NA;NA
2012-2013;L0.05_Pant10_CN_modif_20260519;VIEUX BURLAT;365;308;15;15858;15473;63776;0.7;19;0;NA;0;NA;NA;NA
2013-2014;L0.05_Pant10_CN_modif_20260519;VIEUX BURLAT;365;328;27;15347;14545;59446;0.67;18.8;0;NA;0;NA;NA;NA
2014-2015;L0.05_Pant10_CN_modif_20260519;VIEUX BURLAT;365;263;21;12036;-619;59962;0.53;20.2;0;NA;0;NA;NA;NA
2015-2016;L0.05_Pant10_CN_modif_20260519;VIEUX BURLAT;366;0;278;20506;4530;64822;0.9;26.9;0;NA;0;NA;NA;NA
2016-2017;L0.05_Pant10_CN_modif_20260519;VIEUX BURLAT;365;0;358;8232;-1102;13643;0.36;15.3;0;NA;0;NA;NA;NA
2017-2018;L0.05_Pant10_CN_modif_20260519;VIEUX BURLAT;365;152;117;9493;1847;9143;0.42;14.8;0;NA;0;NA;NA;NA
2018-2019;L0.05_Pant10_CN_modif_20260519;VIEUX BURLAT;365;6;30;8926;-1264;19186;0.39;14.8;0;NA;0;NA;NA;NA
2019-2020;L0.05_Pant10_CN_modif_20260519;VIEUX BURLAT;366;229;26;9144;-2407;38489;0.4;15.8;0;NA;0;NA;NA;NA
2020-2021;L0.05_Pant10_CN_modif_20260519;VIEUX BURLAT;365;55;277;31740;4315;73802;1.39;36.2;0;NA;0;NA;NA;NA
2021-2022;L0.05_Pant10_CN_modif_20260519;VIEUX BURLAT;365;145;97;9555;-9935;26520;0.42;17.6;0;NA;0;NA;NA;NA
2022-2023;L0.05_Pant10_CN_modif_20260519;VIEUX BURLAT;365;0;278;8966;3222;34059;0.39;15.4;0;NA;0;NA;NA;NA
2023-2024;L0.05_Pant10_CN_modif_20260519;VIEUX BURLAT;366;216;91;32083;7219;64612;1.41;34.4;0;NA;0;NA;NA;NA
2024-2025;L0.05_Pant10_CN_modif_20260519;VIEUX BURLAT;365;248;16;13615;5758;55640;0.6;18.9;0;NA;0;NA;NA;NA
2010-2011;L0.05_Pant5_CN_base_20260519;BIETONNAY;365;33;126;20959;24758;122479;0.19;7.1;0;NA;0;NA;NA;NA
2011-2012;L0.05_Pant5_CN_base_20260519;BIETONNAY;366;0;98;20318;46184;32473;0.18;6.2;0;NA;0;NA;NA;NA
2012-2013;L0.05_Pant5_CN_base_20260519;BIETONNAY;365;101;19;34283;86893;144894;0.31;8.6;0;NA;0;NA;NA;NA
2013-2014;L0.05_Pant5_CN_base_20260519;BIETONNAY;365;50;264;41036;34849;168628;0.37;10.5;0;NA;0;NA;NA;NA
2014-2015;L0.05_Pant5_CN_base_20260519;BIETONNAY;365;0;168;52870;-28462;67046;0.48;18.5;0;NA;0;NA;NA;NA
2015-2016;L0.05_Pant5_CN_base_20260519;BIETONNAY;366;70;47;37252;66456;52861;0.34;10.2;0;NA;0;NA;NA;NA
2016-2017;L0.05_Pant5_CN_base_20260519;BIETONNAY;365;24;104;15010;7430;115948;0.14;5.8;0;NA;0;NA;NA;NA
2017-2018;L0.05_Pant5_CN_base_20260519;BIETONNAY;365;0;129;21523;11098;30405;0.2;7;0;NA;0;NA;NA;NA
2018-2019;L0.05_Pant5_CN_base_20260519;BIETONNAY;365;0;345;25631;17231;72451;0.23;8.8;0;NA;0;NA;NA;NA
2019-2020;L0.05_Pant5_CN_base_20260519;BIETONNAY;366;0;175;28050;-24274;24242;0.26;10.1;0;NA;0;NA;NA;NA
2020-2021;L0.05_Pant5_CN_base_20260519;BIETONNAY;365;114;55;63988;93615;126794;0.58;15.2;0;NA;0;NA;NA;NA
2021-2022;L0.05_Pant5_CN_base_20260519;BIETONNAY;365;79;136;23753;22086;153100;0.22;9.1;0;NA;0;NA;NA;NA
2022-2023;L0.05_Pant5_CN_base_20260519;BIETONNAY;365;0;178;12249;18776;41785;0.11;4.4;0;NA;0;NA;NA;NA
2023-2024;L0.05_Pant5_CN_base_20260519;BIETONNAY;366;35;297;91534;77216;231389;0.83;20.5;0;NA;0;NA;NA;NA
2024-2025;L0.05_Pant5_CN_base_20260519;BIETONNAY;365;0;149;42594;-9645;35322;0.39;12.4;0;NA;0;NA;NA;NA
2010-2011;L0.05_Pant5_CN_base_20260519;CARRONNIER;365;78;229;8673;9922;60137;0.15;4.5;0;NA;0;NA;NA;NA
2011-2012;L0.05_Pant5_CN_base_20260519;CARRONNIER;366;0;53;8440;14020;15689;0.14;3.9;0;NA;0;NA;NA;NA
2012-2013;L0.05_Pant5_CN_base_20260519;CARRONNIER;365;20;60;14612;26432;68642;0.25;5.6;0;NA;0;NA;NA;NA
2013-2014;L0.05_Pant5_CN_base_20260519;CARRONNIER;365;0;278;15042;10815;67585;0.26;5.9;0;NA;0;NA;NA;NA
2014-2015;L0.05_Pant5_CN_base_20260519;CARRONNIER;365;0;145;22252;-11372;30637;0.38;12;0;NA;0;NA;NA;NA
2015-2016;L0.05_Pant5_CN_base_20260519;CARRONNIER;366;60;82;17136;18504;24497;0.29;7.2;0;NA;0;NA;NA;NA
2016-2017;L0.05_Pant5_CN_base_20260519;CARRONNIER;365;46;277;6075;3135;62803;0.1;3.6;0;NA;0;NA;NA;NA
2017-2018;L0.05_Pant5_CN_base_20260519;CARRONNIER;365;0;124;9531;3407;7379;0.16;4.8;0;NA;0;NA;NA;NA
2018-2019;L0.05_Pant5_CN_base_20260519;CARRONNIER;365;0;280;8883;1063;40663;0.15;4.7;0;NA;0;NA;NA;NA
2019-2020;L0.05_Pant5_CN_base_20260519;CARRONNIER;366;0;303;10916;-4402;16977;0.19;6.1;0;NA;0;NA;NA;NA
2020-2021;L0.05_Pant5_CN_base_20260519;CARRONNIER;365;110;55;32187;28441;46673;0.55;11.8;0;NA;0;NA;NA;NA
2021-2022;L0.05_Pant5_CN_base_20260519;CARRONNIER;365;85;65;10599;-10496;67735;0.18;6.3;51;14635;0;NA;NA;NA
2022-2023;L0.05_Pant5_CN_base_20260519;CARRONNIER;365;0;312;4980;7531;24617;0.09;2.7;365;10860;8;17.7;0.8;-17
2023-2024;L0.05_Pant5_CN_base_20260519;CARRONNIER;366;304;49;38987;30331;73953;0.67;13.4;366;11676;22;32.8;14;-18.8
2024-2025;L0.05_Pant5_CN_base_20260519;CARRONNIER;365;85;61;15961;9835;70049;0.27;7.1;365;24811;11;32.4;5.7;-26.7
2010-2011;L0.05_Pant5_CN_base_20260519;CHANTEMERLE;365;0;365;11053;1671;9751;0.32;6.7;0;NA;0;NA;NA;NA
2011-2012;L0.05_Pant5_CN_base_20260519;CHANTEMERLE;366;0;207;9238;12373;13502;0.27;5;0;NA;0;NA;NA;NA
2012-2013;L0.05_Pant5_CN_base_20260519;CHANTEMERLE;365;30;85;15802;23440;37960;0.46;7.1;0;NA;0;NA;NA;NA
2013-2014;L0.05_Pant5_CN_base_20260519;CHANTEMERLE;365;1;246;15592;13734;41690;0.45;7.2;0;NA;0;NA;NA;NA
2014-2015;L0.05_Pant5_CN_base_20260519;CHANTEMERLE;365;0;249;22242;-1436;20806;0.64;14;0;NA;0;NA;NA;NA
2015-2016;L0.05_Pant5_CN_base_20260519;CHANTEMERLE;366;7;27;17864;17663;18000;0.52;8.8;0;NA;0;NA;NA;NA
2016-2017;L0.05_Pant5_CN_base_20260519;CHANTEMERLE;365;34;246;6726;8238;30511;0.19;4.7;0;NA;0;NA;NA;NA
2017-2018;L0.05_Pant5_CN_base_20260519;CHANTEMERLE;365;0;350;12528;6510;21019;0.36;7.3;0;NA;0;NA;NA;NA
2018-2019;L0.05_Pant5_CN_base_20260519;CHANTEMERLE;365;0;344;8877;1443;4960;0.26;5.5;0;NA;0;NA;NA;NA
2019-2020;L0.05_Pant5_CN_base_20260519;CHANTEMERLE;366;0;291;9975;12011;26173;0.29;6.5;0;NA;0;NA;NA;NA
