Classe,NOM_min,area,perimeter
6,CHANTEMERLE,16353.583007812500000,600.063135361433524
6,REMONDET NORD,70490.852539062500000,1890.599378817185880
6,GRAND RONZUEL,48155.899902343750000,1312.018941046056625
6,ROUE RONZUEL,125343.591308593735448,2403.608405792670510
6,REMONDET SUD,34033.750976562500000,991.445292816977826
6,CARRONNIER,72932.818847656250000,1811.965080419282685
6,LECHERE,29606.826171875000000,1607.039263941354420
6,SALE,72380.866210937500000,1153.209841915087509
6,FOUR,22202.167480468750000,1074.747231358157933
6,PLAT,1895.329589843750000,218.509943800204297
5,GRAND ETANG LA ROUE,5564.343261718750000,460.663400862332082
5,CORVEYZIEUX,90109.337402343750000,1197.071292981404440
5,LIGNIERE,22744.301757812500000,1031.097595478577887
5,POLLET,9814.316894531250000,401.469680116987433
5,LES RAGES,44125.213867187500000,1050.933471638626543
5,GRANGES,19592.537597656250000,875.807285212415309
5,LONGEVAVRE,54438.713378906250000,1170.297740847010800
5,BIETONNAY,17465.278320312500000,565.176101311918501
5,CHANTEMERLE,54985.442382812507276,1608.889008266813107
5,REMONDET NORD,57010.615722656250000,1212.181899493668425
5,REMONDET SUD,70780.729980468750000,1713.501295214947731
5,LECHERE,18129.260742187500000,841.165647987752322
